date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,22:51:31.848965,5000,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:51:45.806426,5250,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:51:57.946505,5500,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:52:16.743228,5000,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:52:36.420914,5250,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:52:50.651479,5500,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:53:03.283513,5000,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:53:16.616409,5250,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:53:29.694454,5500,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:53:43.104692,5000,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:53:56.602864,5250,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:54:10.002331,5500,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:54:19.411972,5000,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:54:31.934038,5250,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:54:41.815076,5500,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:54:52.037358,5000,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:55:04.144676,5250,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:55:15.134336,5500,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:55:27.379992,5000,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:55:38.071645,5250,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:55:50.149017,5500,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:03.589116,5000,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:16.570603,5250,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:28.243165,5500,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:38.290389,5000,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:48.395304,5250,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:56:56.437397,5500,2800,3471230.80677763,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.84527115309642
2018-02-28,22:57:08.653834,5000,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:57:21.354355,5250,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:57:29.864302,5500,2800,3379080.16730597,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.76973784205407
2018-02-28,22:57:42.891198,5000,2800,3480000,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
